year;new_agr_coop_value;new_agr_coop_num;new_agr_coop_value_to_num;agr_productivity;total_agr_value;log_total_agr_value;log_new_agr_coop_value;log_new_agr_coop_num;gdp;log_gdp;log_gdp_per_capita;agr_in_gdp
1985;5882;158;37;82723;31542150155;10.498891;3.769525;2.198657;67234948265;10.83;3,8999;19.7
1986;6714;165;41;85749;32998975931;10.518500;3.826981;2.217484;75728009963;10.88;3,9201;19.51
1987;10323;206;50;84073;33147385901;10.520449;4.013806;2.313867;87172789528;10.94;3,9507;17.82
1988;17455;173;101;91032;35741962398;10.553178;4.241920;2.238046;90852814005;10.96;3,9521;17.26
1989;19988;198;101;82820;33042693296;10.519075;4.300769;2.296665;107143348667;11.03;3,9449;16.59
1990;87698;1007;87;88955;35294730040;10.547710;4.942990;3.003029;150676291094;11.18;3,9751;17.48
1991;51278;387;133;87294;34976184301;10.543772;4.709931;2.587711;150027833333;11.18;3,9703;15.25
1992;72060;399;181;91408;36475486625;10.562001;4.857694;2.600973;158459130435;11.2;3,9840;14.98
1993;1217074;672;1811;90214;36007201319;10.556389;6.085317;2.827369;180169736364;11.26;4,0085;15.42
1994;952454;671;1419;89034;35746436772;10.553233;5.978844;2.826723;130690172297;11.12;3,9801;15.47
1995;932618;786;1187;92291;36448489884;10.561680;5.969704;2.895423;169485941048;11.23;4,0057;15.7
1996;1644227;742;2216;96668;38052246618;10.580380;6.215962;2.870404;181475555283;11.26;4,0294;16.85
1997;3888190;786;4947;94702;37162834863;10.570109;6.589747;2.895423;189834649111;11.28;4,0541;14.46
1998;10486775;704;14896;100887;40273095660;10.605015;7.020642;2.847573;275967393939;11.44;4,0576;12.45
1999;29869135;304;98254;95370;38436131437;10.584740;7.475223;2.482874;256385525072;11.41;4,0367;10.46
2000;4976398;378;13165;101039;40899591294;10.611719;6.696915;2.577492;274302959053;11.44;4,0595;10.03
2001;8041060;353;22779;90959;37264168590;10.571291;6.905313;2.547775;201751148417;11.3;4,0273;8.79
2002;7823527;364;21493;98307;40498806235;10.607442;6.893403;2.561101;240253216295;11.38;4,0484;10.19
2003;14961371;401;37310;98122;39880632117;10.600762;7.174971;2.603144;314592428076;11.5;4,0670;9.8
2004;26715095;816;32739;100600;41457098877;10.617599;7.426757;2.911690;408876042652;11.61;4,1016;9.33
2005;42660450;704;60597;108543;44744863037;10.650743;7.630025;2.847573;506308311477;11.7;4,1332;9.17
2006;79781816;645;123693;112212;45438174423;10.657421;7.901904;2.809560;557057829051;11.75;4,1567;8.09
2007;132874382;838;158561;107867;42612667162;10.629539;8.123441;2.923244;681337335022;11.83;4,1727;7.46
2008;165905516;752;220619;113851;44540902810;10.648759;8.219861;2.876218;770462156204;11.89;4,1710;7.42